t,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27,u28,u29,u30,u31,u32,u33,u34,u35,u36,u37,u38,u39,u40,u41,u42,u43,u44,u45,u46,u47,u48,u49,u50
0,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00113507,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00223157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00336793,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078
0.00453207,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078
0.00567755,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078
0.00684714,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0396078,-0.000392157,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078
0.00795579,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078
0.0090669,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078
0.0101399,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078
